Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,四零三,59,良,细颗粒物(PM2.5),42,50,1.0,26,34,39,11
20200326,19,白龙岗,59,良,细颗粒物(PM2.5),42,48,1.0,32,37,37,6
20200326,19,伍家岗,67,良,细颗粒物(PM2.5),48,NaN,1.1,51,20,30,10
20200326,19,点军区,45,优,NaN,31,33,1.0,37,37,45,6
20200326,19,夷陵区,63,良,细颗粒物(PM2.5),45,NaN,0.8,18,58,45,4
20200326,20,四零三,54,良,细颗粒物(PM2.5),38,43,1.0,27,32,38,11
20200326,20,白龙岗,53,良,细颗粒物(PM2.5),37,40,0.9,30,37,38,6
20200326,20,伍家岗,57,良,细颗粒物(PM2.5),40,NaN,1.0,52,18,31,10
20200326,20,点军区,53,良,细颗粒物(PM2.5),37,NaN,1.0,17,48,47,6
20200326,20,夷陵区,53,良,细颗粒物(PM2.5),37,NaN,0.8,23,59,48,4
20200327,10,四零三,27,优,NaN,4,21,0.4,9,84,82,11
20200327,10,白龙岗,26,优,NaN,6,21,0.4,16,82,85,6
20200327,10,伍家岗,23,优,NaN,4,22,0.2,22,73,75,9
20200327,10,点军区,29,优,NaN,7,18,0.3,15,90,85,5
20200327,10,夷陵区,27,优,NaN,14,22,0.3,13,84,82,4
20200327,11,四零三,26,优,NaN,4,23,0.4,9,82,83,11
20200327,11,白龙岗,26,优,NaN,6,16,0.4,16,82,86,6
20200327,11,伍家岗,23,优,NaN,4,23,0.2,23,71,76,9
20200327,11,点军区,29,优,NaN,8,19,0.3,14,91,88,6
20200327,11,夷陵区,26,优,NaN,6,24,0.4,14,81,84,4
20200327,12,四零三,26,优,NaN,4,26,0.4,9,78,83,11
20200327,12,白龙岗,25,优,NaN,3,17,0.4,16,77,85,7
20200327,12,伍家岗,24,优,NaN,4,24,0.2,17,72,76,9
20200327,12,点军区,27,优,NaN,6,24,0.3,16,85,89,6
20200327,12,夷陵区,31,优,NaN,5,31,0.4,13,77,84,4
20200327,13,四零三,32,优,NaN,5,32,0.4,8,74,82,11
20200327,13,白龙岗,24,优,NaN,3,24,0.4,14,74,84,6
20200327,13,伍家岗,22,优,NaN,7,19,0.3,16,70,75,9
20200327,13,点军区,25,优,NaN,12,25,0.3,16,79,88,5
20200327,13,夷陵区,26,优,NaN,4,26,0.4,13,72,83,4
20200327,14,四零三,23,优,NaN,6,22,0.4,8,72,81,NaN
20200327,14,白龙岗,25,优,NaN,3,25,0.4,13,73,82,6
20200327,14,伍家岗,21,优,NaN,7,18,0.3,17,67,73,9
20200327,14,点军区,25,优,NaN,10,22,0.3,16,77,86,5
20200327,14,夷陵区,27,优,NaN,3,27,0.4,12,72,81,4
20200327,15,四零三,15,优,NaN,4,15,0.4,9,NaN,80,5
20200327,15,白龙岗,23,优,NaN,5,22,0.4,14,73,79,6
20200327,15,伍家岗,20,优,NaN,8,20,0.3,20,62,71,9
20200327,15,点军区,25,优,NaN,9,15,0.3,16,77,85,6
20200327,15,夷陵区,23,优,NaN,4,17,0.4,12,73,79,4
20200327,17,四零三,21,优,NaN,5,19,0.4,10,66,74,5
20200327,17,白龙岗,21,优,NaN,4,12,0.4,16,67,75,6
20200327,17,伍家岗,20,优,NaN,8,13,0.3,18,61,67,8
20200327,17,点军区,21,优,NaN,9,16,0.4,20,66,80,5
20200327,17,夷陵区,22,优,NaN,6,13,0.4,14,68,74,4
20200330,11,四零三,48,优,NaN,33,37,0.6,15,44,44,6
20200330,11,白龙岗,54,良,细颗粒物(PM2.5),38,54,0.9,19,40,42,6
20200330,11,伍家岗,55,良,细颗粒物(PM2.5),39,NaN,0.6,16,45,42,9
20200330,11,点军区,55,良,细颗粒物(PM2.5),39,NaN,0.6,24,39,44,6
20200330,11,夷陵区,43,优,NaN,30,31,0.5,17,39,41,4
20200330,11,四零三,48,优,NaN,33,37,0.6,15,44,44,6
20200330,11,白龙岗,54,良,细颗粒物(PM2.5),38,54,0.9,19,40,42,6
20200330,11,伍家岗,55,良,细颗粒物(PM2.5),39,NaN,0.6,16,45,42,9
20200330,11,点军区,55,良,细颗粒物(PM2.5),39,NaN,0.6,24,39,44,6
20200330,11,夷陵区,43,优,NaN,30,31,0.5,17,39,41,4
