Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,2号子站,34,优,NaN,22,34,0.7,34,43,51,3
20200326,20,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,2号子站,24,优,NaN,14,24,0.6,25,51,54,3
20200326,21,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,2号子站,25,优,NaN,17,19,0.6,20,61,54,3
20200327,10,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,2号子站,98,良,颗粒物(PM10),12,146,0.5,15,70,65,6
20200327,11,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,2号子站,90,良,颗粒物(PM10),12,129,0.5,16,73,66,6
20200327,12,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,2号子站,85,良,颗粒物(PM10),9,119,0.5,16,77,67,5
20200327,13,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,2号子站,68,良,颗粒物(PM10),5,85,NaN,NaN,NaN,67,NaN
20200327,14,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,2号子站,NaN,,NaN,NaN,NaN,NaN,12,73,69,352
20200327,14,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,2号子站,NaN,,NaN,NaN,NaN,NaN,12,73,69,352
20200327,15,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,2号子站,NaN,,NaN,NaN,NaN,0.4,12,74,71,2
20200327,16,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,16,2号子站,NaN,,NaN,NaN,NaN,0.3,12,76,73,3
20200327,17,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,17,2号子站,NaN,,NaN,NaN,NaN,0.4,14,77,74,4
20200330,08,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,08,2号子站,36,优,NaN,14,36,0.6,35,51,58,5
20200330,09,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,09,2号子站,48,优,NaN,19,48,0.8,40,50,56,8
20200330,10,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,2号子站,51,良,颗粒物(PM10),22,51,0.8,33,58,56,9
20200330,10,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,2号子站,51,良,颗粒物(PM10),22,51,0.8,33,58,56,9
20200330,10,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,2号子站,51,良,颗粒物(PM10),22,51,0.8,33,58,56,9
20200330,11,JN子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,11,2号子站,51,良,颗粒物(PM10),22,51,0.8,30,64,58,11
