Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,河南岸金山湖子站,32,优,NaN,10,32,0.4,17,63,64,7
20200326,18,下埔横江三路子站,28,优,NaN,13,28,0.5,17,63,61,6
20200326,18,江北云山西路子站,34,优,NaN,16,34,0.5,17,67,68,5
20200326,18,惠阳区承修路船湖子站,45,优,NaN,27,45,0.6,22,55,61,7
20200326,18,大亚湾管委会子站,34,优,NaN,14,34,0.4,18,69,71,6
20200326,20,河南岸金山湖子站,46,优,NaN,14,46,0.4,36,24,60,7
20200326,20,下埔横江三路子站,32,优,NaN,13,32,0.5,30,32,59,6
20200326,20,江北云山西路子站,32,优,NaN,11,32,0.5,20,42,65,6
20200326,20,惠阳区承修路船湖子站,46,优,NaN,17,46,0.6,29,44,58,6
20200326,20,大亚湾管委会子站,39,优,NaN,19,39,0.5,30,44,69,6
20200326,21,河南岸金山湖子站,56,良,颗粒物(PM10),17,61,0.5,32,26,55,7
20200326,21,下埔横江三路子站,35,优,NaN,19,35,0.6,38,19,53,6
20200326,21,江北云山西路子站,35,优,NaN,15,35,0.5,27,31,60,5
20200326,21,惠阳区承修路船湖子站,38,优,NaN,17,38,0.6,25,42,56,6
20200326,21,大亚湾管委会子站,39,优,NaN,16,39,0.4,35,34,64,6
20200327,10,河南岸金山湖子站,53,良,颗粒物(PM10),35,55,0.1,22,26,10,9
20200327,10,下埔横江三路子站,42,优,NaN,29,40,0.6,21,31,18,8
20200327,10,江北云山西路子站,45,优,NaN,31,42,0.6,22,30,17,7
20200327,10,惠阳区承修路船湖子站,27,优,NaN,15,27,0.5,18,37,43,6
20200327,10,大亚湾管委会子站,33,优,NaN,15,33,0.4,25,34,43,7
20200327,11,河南岸金山湖子站,49,优,NaN,33,49,NaN,17,42,14,8
20200327,11,下埔横江三路子站,46,优,NaN,31,46,0.5,21,37,20,7
20200327,11,江北云山西路子站,42,优,NaN,29,41,0.6,18,40,20,6
20200327,11,惠阳区承修路船湖子站,30,优,NaN,13,30,0.5,18,40,42,6
20200327,11,大亚湾管委会子站,26,优,NaN,11,26,0.4,11,51,43,6
20200327,12,河南岸金山湖子站,40,优,NaN,28,39,NaN,14,64,21,7
20200327,12,下埔横江三路子站,39,优,NaN,27,37,0.5,17,63,25,6
20200327,12,江北云山西路子站,38,优,NaN,26,34,0.5,16,66,25,6
20200327,12,惠阳区承修路船湖子站,38,优,NaN,12,38,0.5,14,52,42,6
20200327,12,大亚湾管委会子站,24,优,NaN,11,24,0.4,9,60,44,6
20200327,13,河南岸金山湖子站,40,优,NaN,18,40,NaN,11,76,30,7
20200327,13,下埔横江三路子站,48,优,NaN,23,48,0.5,17,78,32,6
20200327,13,江北云山西路子站,36,优,NaN,20,36,0.5,13,89,34,6
20200327,13,惠阳区承修路船湖子站,38,优,NaN,12,38,0.4,11,64,44,6
20200327,13,大亚湾管委会子站,28,优,NaN,11,28,0.4,8,72,46,6
20200327,14,河南岸金山湖子站,32,优,NaN,10,32,NaN,6,81,39,6
20200327,14,下埔横江三路子站,35,优,NaN,12,35,0.4,13,78,40,6
20200327,14,江北云山西路子站,29,优,NaN,10,29,0.5,10,92,44,6
20200327,14,惠阳区承修路船湖子站,30,优,NaN,11,30,0.4,7,69,46,6
20200327,14,大亚湾管委会子站,30,优,NaN,9,30,0.3,6,75,50,6
20200327,14,河南岸金山湖子站,32,优,NaN,10,32,NaN,6,81,39,6
20200327,14,下埔横江三路子站,35,优,NaN,12,35,0.4,13,78,40,6
20200327,14,江北云山西路子站,29,优,NaN,10,29,0.5,10,92,44,6
20200327,14,惠阳区承修路船湖子站,30,优,NaN,11,30,0.4,7,69,46,6
20200327,14,大亚湾管委会子站,30,优,NaN,9,30,0.3,6,75,50,6
20200327,15,河南岸金山湖子站,31,优,NaN,11,31,NaN,6,83,49,6
20200327,15,下埔横江三路子站,29,优,NaN,11,29,0.4,11,81,49,5
20200327,15,江北云山西路子站,28,优,NaN,7,18,0.5,9,87,53,6
20200327,15,惠阳区承修路船湖子站,31,优,NaN,10,31,0.4,8,70,50,6
20200327,15,大亚湾管委会子站,28,优,NaN,10,28,0.3,10,71,55,6
20200327,16,河南岸金山湖子站,29,优,NaN,10,29,NaN,10,82,58,6
20200327,16,下埔横江三路子站,27,优,NaN,12,27,0.5,13,80,58,5
20200327,16,江北云山西路子站,30,优,NaN,8,30,0.5,11,88,63,6
20200327,16,惠阳区承修路船湖子站,28,优,NaN,8,28,0.5,10,66,54,6
20200327,16,大亚湾管委会子站,36,优,NaN,13,36,0.4,15,72,59,6
20200327,17,河南岸金山湖子站,32,优,NaN,10,32,0.1,11,79,67,6
20200327,17,下埔横江三路子站,36,优,NaN,11,36,0.5,15,76,66,5
20200327,17,江北云山西路子站,31,优,NaN,6,31,0.5,13,84,72,5
20200327,17,惠阳区承修路船湖子站,42,优,NaN,8,42,0.5,12,63,58,6
20200327,17,大亚湾管委会子站,41,优,NaN,13,41,0.4,11,73,64,6
20200330,08,河南岸金山湖子站,8,优,NaN,2,3,0.4,14,23,34,7
20200330,08,下埔横江三路子站,8,优,NaN,4,4,0.6,15,19,32,7
20200330,08,江北云山西路子站,8,优,NaN,1,NaN,0.6,15,19,24,6
20200330,08,惠阳区承修路船湖子站,21,优,NaN,12,21,0.6,24,6,44,6
20200330,08,大亚湾管委会子站,28,优,NaN,19,24,0.6,39,26,47,8
20200330,09,河南岸金山湖子站,8,优,NaN,3,NaN,0.5,16,21,30,8
20200330,09,下埔横江三路子站,9,优,NaN,4,NaN,0.7,17,17,26,7
20200330,09,江北云山西路子站,7,优,NaN,1,6,0.5,14,21,19,6
20200330,09,惠阳区承修路船湖子站,12,优,NaN,7,NaN,0.7,23,5,37,6
20200330,09,大亚湾管委会子站,26,优,NaN,17,21,0.7,52,14,42,8
20200330,10,河南岸金山湖子站,9,优,NaN,3,9,0.5,16,22,25,9
20200330,10,下埔横江三路子站,11,优,NaN,5,11,0.6,17,16,21,7
20200330,10,江北云山西路子站,7,优,NaN,1,5,0.6,14,21,20,6
20200330,10,惠阳区承修路船湖子站,17,优,NaN,6,17,0.7,22,6,30,6
20200330,10,大亚湾管委会子站,34,优,NaN,20,34,0.6,50,16,37,8
20200330,10,河南岸金山湖子站,9,优,NaN,3,9,0.5,16,22,25,9
20200330,10,下埔横江三路子站,11,优,NaN,5,11,0.6,17,16,21,7
20200330,10,江北云山西路子站,7,优,NaN,1,5,0.6,14,21,20,6
20200330,10,惠阳区承修路船湖子站,17,优,NaN,6,17,0.7,22,6,30,6
20200330,10,大亚湾管委会子站,34,优,NaN,20,34,0.6,50,16,37,8
20200330,10,河南岸金山湖子站,9,优,NaN,3,9,0.5,16,22,25,9
20200330,10,下埔横江三路子站,11,优,NaN,5,11,0.6,17,16,21,7
20200330,10,江北云山西路子站,7,优,NaN,1,5,0.6,14,21,20,6
20200330,10,惠阳区承修路船湖子站,17,优,NaN,6,17,0.7,22,6,30,6
20200330,10,大亚湾管委会子站,34,优,NaN,20,34,0.6,50,16,37,8
20200330,11,河南岸金山湖子站,8,优,NaN,4,6,0.6,16,20,22,10
20200330,11,下埔横江三路子站,9,优,NaN,5,7,0.6,17,17,19,6
20200330,11,江北云山西路子站,8,优,NaN,1,6,0.6,15,21,21,6
20200330,11,惠阳区承修路船湖子站,16,优,NaN,6,16,0.6,21,8,24,6
20200330,11,大亚湾管委会子站,38,优,NaN,12,38,0.6,35,6,31,8
