Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,宿迁学院,79,良,细颗粒物(PM2.5),58,61,1.0,25,49,36,7
20200326,18,宿迁中学,78,良,细颗粒物(PM2.5),57,64,0.7,23,46,38,5
20200326,18,宿豫区环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,市供电局,67,良,细颗粒物(PM2.5),48,79,0.8,30,39,34,4
20200326,18,市供电局(启用161107),39,优,NaN,27,33,0.6,25,47,56,3
20200326,18,宿豫区政府(181206启用),NaN,优,NaN,31,NaN,0.3,19,36,41,1
20200326,18,宿豫区政府,63,良,细颗粒物(PM2.5),45,49,0.9,28,34,31,3
20200326,20,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,宿迁学院,52,良,细颗粒物(PM2.5),36,NaN,0.6,19,60,40,3
20200326,20,宿迁中学,48,优,NaN,33,NaN,0.4,10,68,43,3
20200326,20,宿豫区环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,市供电局,51,良,颗粒物(PM10),28,52,0.4,16,59,37,2
20200326,20,市供电局(启用161107),39,优,NaN,27,33,0.6,25,47,56,3
20200326,20,宿豫区政府(181206启用),NaN,优,NaN,31,NaN,0.3,19,36,41,1
20200326,20,宿豫区政府,40,优,NaN,28,28,0.4,16,54,34,3
20200327,10,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,宿迁学院,39,优,NaN,17,39,0.5,9,64,64,8
20200327,10,宿迁中学,26,优,NaN,18,26,0.4,12,65,65,8
20200327,10,宿豫区环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,市供电局,37,优,NaN,19,37,0.3,9,62,62,6
20200327,10,市供电局(启用161107),39,优,NaN,27,33,0.6,25,47,56,3
20200327,10,宿豫区政府(181206启用),NaN,优,NaN,31,NaN,0.3,19,36,41,1
20200327,10,宿豫区政府,40,优,NaN,28,35,0.4,11,58,60,6
20200327,11,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,宿迁学院,39,优,NaN,19,39,0.5,7,76,64,12
20200327,11,宿迁中学,31,优,NaN,20,31,0.4,10,77,66,10
20200327,11,宿豫区环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,市供电局,36,优,NaN,18,36,0.3,11,72,62,8
20200327,11,市供电局(启用161107),39,优,NaN,27,33,0.6,25,47,56,3
20200327,11,宿豫区政府(181206启用),NaN,优,NaN,31,NaN,0.3,19,36,41,1
20200327,11,宿豫区政府,38,优,NaN,18,38,0.4,9,67,59,9
20200327,12,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,宿迁学院,41,优,NaN,19,41,0.5,7,82,66,12
20200327,12,宿迁中学,42,优,NaN,20,42,0.4,10,85,67,12
20200327,12,宿豫区环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,市供电局,51,良,颗粒物(PM10),18,52,0.3,9,80,63,10
20200327,12,市供电局(启用161107),39,优,NaN,27,33,0.6,25,47,56,3
20200327,12,宿豫区政府(181206启用),NaN,优,NaN,31,NaN,0.3,19,36,41,1
20200327,12,宿豫区政府,49,优,NaN,18,49,0.4,10,75,60,9
20200327,13,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,宿迁学院,57,良,颗粒物(PM10),17,64,0.5,5,90,68,8
20200327,13,宿迁中学,46,优,NaN,18,46,0.4,10,92,70,11
20200327,13,宿豫区环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,市供电局,52,良,颗粒物(PM10),16,54,0.2,8,86,66,9
20200327,13,市供电局(启用161107),39,优,NaN,27,33,0.6,25,47,56,3
20200327,13,宿豫区政府(181206启用),NaN,优,NaN,31,NaN,0.3,19,36,41,1
20200327,13,宿豫区政府,28,优,NaN,14,28,0.4,8,84,63,6
20200327,14,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,宿迁学院,57,良,颗粒物(PM10),15,63,0.5,5,92,72,8
20200327,14,宿迁中学,54,良,颗粒物(PM10),20,58,0.3,9,94,74,10
20200327,14,宿豫区环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,市供电局,57,良,颗粒物(PM10),20,63,0.2,9,87,69,8
20200327,14,市供电局(启用161107),39,优,NaN,27,33,0.6,25,47,56,3
20200327,14,宿豫区政府(181206启用),NaN,优,NaN,31,NaN,0.3,19,36,41,1
20200327,14,宿豫区政府,59,良,颗粒物(PM10),15,67,0.4,8,84,66,6
20200327,15,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,宿迁学院,63,良,颗粒物(PM10),14,76,0.5,6,94,76,9
20200327,15,宿迁中学,58,良,颗粒物(PM10),20,66,0.4,11,96,78,9
20200327,15,宿豫区环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,市供电局,64,良,颗粒物(PM10),15,78,0.2,11,89,73,8
20200327,15,市供电局(启用161107),39,优,NaN,27,33,0.6,25,47,56,3
20200327,15,宿豫区政府(181206启用),NaN,优,NaN,31,NaN,0.3,19,36,41,1
20200327,15,宿豫区政府,63,良,颗粒物(PM10),17,76,0.4,9,90,70,6
20200327,17,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,17,宿迁学院,68,良,颗粒物(PM10),33,86,0.5,12,92,86,10
20200327,17,宿迁中学,58,良,颗粒物(PM10),28,66,0.4,16,91,87,10
20200327,17,宿豫区环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,17,市供电局,65,良,颗粒物(PM10),38,80,0.3,19,83,81,9
20200327,17,市供电局(启用161107),39,优,NaN,27,33,0.6,25,47,56,3
